Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends
34,17,17,1,1,1,1,1,1,1,5,1,1,1,0,0,45
18,197,140,5,1,1,1,1,1,0,5,14,0,12,1,2,654
16,289,189,8,1,1,1,1,1,0,7,26,0,16,1,0,425
17,324,126,2,1,1,1,1,1,0,13,32,0,39,1,4,704
18,67,12,8,1,1,1,0,1,0,5,14,0,6,1,1,231
22,54,24,12,1,1,1,0,1,0,12,45,0,14,1,2,782
22,604,204,10,0,0,1,0,1,1,18,14,0,35,0,0,871
17,266,125,20,0,1,1,0,1,1,16,16,0,34,0,0,2039
21,874,312,24,0,1,1,0,1,1,2,28,0,4,0,0,1580
18,1067,569,19,0,1,1,0,1,1,8,24,0,15,1,6,1530
20,456,102,8,0,1,1,0,1,0,14,17,0,29,1,7,489
20,249,21,6,1,1,1,1,1,1,16,29,0,24,0,4,520
17,42,15,3,1,1,1,0,1,0,26,28,0,54,1,2,478
22,86,41,4,1,0,1,0,1,0,1,48,0,103,0,1,255
18,47,6,2,1,0,1,0,1,1,7,26,0,59,1,0,415
26,910,103,13,0,1,1,1,1,0,13,15,0,13,0,4,893
35,845,105,16,0,1,1,0,1,1,2,26,1,18,0,0,458
27,105,41,6,1,1,1,0,1,1,8,15,0,69,0,0,417
21,164,76,4,1,1,1,0,1,1,9,14,0,16,0,2,654
18,41,23,2,1,0,1,0,1,1,4,9,0,18,1,1,254
17,48,12,3,1,0,1,1,1,1,12,4,0,17,1,0,189
26,201,23,6,0,1,1,0,1,1,1,2,0,9,0,0,54
21,88,25,4,0,1,1,1,1,0,10,10,0,0,0,0,120
24,120,30,3,1,1,1,1,1,0,9,7,0,0,0,0,180
19,153,42,5,1,0,0,1,1,0,8,6,0,1,1,0,121
22,133,44,3,0,0,1,1,1,1,12,10,0,1,0,0,200
20,200,80,4,0,1,1,1,1,1,13,8,0,1,0,0,122
25,170,50,5,0,1,1,1,1,1,11,9,0,0,0,0,100
15,400,100,7,0,1,1,1,1,1,12,10,0,0,1,0,523
17,250,77,1,0,1,1,1,1,0,15,15,0,0,1,0,400
21,425,7,1,0,0,1,1,1,0,12,22,0,17,0,8,3063
21,258,6,1,0,1,1,1,1,0,7,14,0,90,0,12,1274
20,180,50,2,0,1,1,1,1,1,13,12,0,0,0,0,224
35,95,10,2,0,1,1,1,1,0,14,11,2,0,0,0,189
38,100,20,2,0,1,0,1,1,1,18,16,5,8,0,0,325
24,70,1,6,1,0,1,0,1,0,2,5,0,28,0,3,660
40,80,10,2,0,1,0,1,1,0,17,15,4,0,0,0,235
45,53,15,3,0,1,0,1,1,0,14,13,5,0,0,0,226
28,201,78,4,0,1,1,1,1,0,12,11,1,0,0,0,210
23,250,47,5,1,1,1,1,1,0,16,12,0,0,0,1,137
20,320,100,6,0,1,1,1,1,0,20,19,0,0,0,0,148
25,125,20,5,0,1,1,1,1,1,27,26,1,2,0,0,150
25,145,30,3,1,0,1,1,1,1,21,20,0,0,0,1,300
26,155,50,5,1,0,1,1,1,1,18,17,0,4,0,0,129
29,143,40,4,1,0,1,1,1,1,16,14,2,7,0,0,200
27,203,10,7,1,0,1,1,1,0,19,17,0,7,0,0,130
20,3830,2879,46,0,1,1,0,1,1,135,197,0,85,0,6,1077
21,1425,1572,32,0,1,1,1,1,0,34,56,0,268,0,5,1571
25,861,380,20,1,1,1,0,1,1,81,117,0,123,0,1,606
17,2301,563,40,0,0,1,1,1,0,68,80,0,932,1,6,268
20,2445,1187,23,0,1,1,0,1,0,72,93,0,276,0,6,672
23,3512,1513,87,0,0,1,1,1,0,98,129,0,239,0,3,776
20,2976,1355,50,1,1,1,0,0,0,94,106,0,65,0,11,890
21,3606,604,28,0,1,1,0,1,0,62,41,0,188,0,2,557
21,2171,1623,44,1,1,1,1,0,0,102,132,0,301,0,12,986
22,1984,1062,52,0,1,1,0,1,0,39,23,0,234,0,11,570
22,1142,1252,29,0,1,1,0,1,1,64,92,0,114,0,2,852
21,639,484,17,0,1,1,0,1,0,49,36,0,120,0,3,338
21,2931,2195,57,0,1,1,0,1,0,63,89,0,281,0,10,962
27,11413,3572,172,0,1,1,1,1,0,195,212,0,92,1,17,2229
24,143,562,10,1,1,1,0,1,0,6,8,0,89,0,1,412
20,3244,961,140,1,0,1,0,0,0,110,153,0,413,0,8,1282
24,797,499,23,0,1,1,0,1,0,68,96,0,42,0,3,902
26,640,3578,17,1,1,1,0,1,1,37,71,0,39,0,1,237
22,1678,1478,39,1,0,1,0,1,0,58,90,0,603,0,17,1446
21,148,582,12,0,1,0,1,1,1,17,25,1,93,0,4,849
21,5955,960,86,1,1,1,1,1,0,126,193,0,103,0,14,1154
26,563,159,27,0,0,1,1,1,1,39,30,1,86,1,3,218
30,4550,200,77,0,0,1,1,1,1,13,6,0,180,1,9,250
44,224,25,14,0,0,1,0,1,1,5,4,1,166,1,4,196
22,491,15,9,0,0,1,0,1,0,4,10,0,267,1,1,205
26,584,53,15,0,0,1,1,1,1,25,3,0,0,1,0,145
18,381,3,6,1,0,1,1,1,0,0,0,0,114,1,14,280
17,51,15,4,1,0,1,0,1,0,12,0,0,193,1,26,301
33,116,46,8,0,1,1,1,1,0,7,5,1,20,1,3,250
24,650,78,26,0,1,1,1,1,1,8,12,1,19,1,1,193
23,48,70,7,1,1,1,1,1,0,67,35,0,207,1,11,350
35,107,265,4,0,1,1,0,1,1,15,4,3,12,1,3,344
38,39,6,7,1,1,1,0,1,1,0,0,0,2,1,1,205
45,95,35,6,0,1,0,1,1,1,38,14,2,34,1,4,76
24,133,0,19,0,1,1,1,1,0,2,10,0,148,1,1,280
17,109,0,9,0,0,1,1,1,0,19,76,0,222,1,5,305
36,41,43,4,0,1,1,0,1,1,0,0,2,8,1,2,122
18,235,5,9,0,0,1,1,1,1,0,0,0,3,1,1,280
15,477,14,10,0,0,1,1,1,0,1,0,0,9,0,0,73
14,463,763,9,0,0,1,0,1,1,107,255,0,1558,0,2,1245
24,327,20,13,0,1,1,0,1,0,23,53,0,145,1,1,260
18,842,599,23,0,0,1,1,1,0,55,85,0,1285,1,11,325
21,191,161,15,1,1,1,0,1,1,4,2,0,924,0,6,434
20,630,316,15,0,1,1,0,1,0,6,87,0,72,0,4,822
